episode,success,near_miss,fail,first_pass_success,steps,time_s,capture_time_s,min_dist_m,init_px_m,init_py_m,init_pz_m,init_dist_m,init_bearing_rad
97,1,0,0,1,270,5.42,5.42,0.7570679783821106,176.94480895996094,6.82916784286499,98.41647338867188,202.5880126953125,0.03857576102018356
98,1,0,0,1,243,4.88,4.88,0.8755444884300232,137.4300079345703,-16.721633911132812,95.81727600097656,168.36737060546875,-0.12107867002487183
99,1,0,0,1,253,5.08,5.08,0.21635860204696655,130.5634765625,-16.106550216674805,111.50752258300781,172.45338439941406,-0.12274169921875
100,0,1,0,0,1251,25.04,nan,1.1801207065582275,148.8047637939453,26.888996124267578,95.34983825683594,178.76651000976562,0.1787707358598709
101,1,0,0,0,273,5.48,5.48,0.2923106253147125,151.3232879638672,-31.392152786254883,117.19061279296875,193.9532012939453,-0.20454952120780945
102,0,0,1,0,1251,25.04,nan,1.867517113685608,143.98419189453125,38.00818634033203,103.44841766357422,181.32192993164062,0.25808748602867126
103,0,0,1,0,1251,25.04,nan,2.141465425491333,127.6473388671875,37.998863220214844,88.35062408447266,159.82362365722656,0.2893328070640564
104,1,0,0,1,239,4.8,4.8,0.49211496114730835,120.93336486816406,0.08984702825546265,100.67009735107422,157.35105895996094,0.000742946460377425
105,1,0,0,0,283,5.68,5.68,0.6848307847976685,162.3209991455078,-38.0778923034668,115.51956176757812,202.83689880371094,-0.23041760921478271
106,1,0,0,0,242,4.86,4.86,0.956503689289093,156.97940063476562,14.26796817779541,88.0041275024414,180.52931213378906,0.09064165502786636
107,1,0,0,0,260,5.22,5.22,0.5433313250541687,148.01742553710938,-33.13187789916992,101.5938949584961,182.56011962890625,-0.22020787000656128
108,1,0,0,1,248,4.98,4.98,0.7583905458450317,135.640625,-13.454902648925781,97.68028259277344,167.69273376464844,-0.09887178242206573
109,1,0,0,0,265,5.32,5.32,0.7487978339195251,168.75616455078125,21.52301597595215,113.24922180175781,204.37042236328125,0.1268543004989624
110,1,0,0,0,240,4.82,4.82,0.17322789132595062,122.33074951171875,-13.629473686218262,97.73291778564453,157.16964721679688,-0.11095733940601349
111,0,1,0,0,1251,25.04,nan,1.3706886768341064,173.79110717773438,-27.92411231994629,99.67237091064453,202.2812042236328,-0.1593146175146103
112,1,0,0,1,265,5.32,5.32,0.33375275135040283,159.34007263183594,-24.805688858032227,108.35968017578125,194.28431701660156,-0.15443798899650574
113,1,0,0,0,266,5.34,5.34,0.22038662433624268,158.6197967529297,-11.326204299926758,111.78655242919922,194.3830108642578,-0.0712837502360344
114,0,0,1,0,1251,25.04,nan,1.5361945629119873,169.9613037109375,1.6086801290512085,89.75861358642578,192.21353149414062,0.009464696981012821
115,1,0,0,1,245,4.92,4.92,0.890295147895813,140.93797302246094,-6.382542133331299,86.95886993408203,165.72897338867188,-0.045255258679389954
116,1,0,0,1,253,5.08,5.08,0.6983125805854797,158.901611328125,-9.155603408813477,88.43151092529297,182.08151245117188,-0.05755442753434181
117,0,1,0,0,1251,25.04,nan,1.125664234161377,130.74835205078125,37.12345504760742,107.34394836425781,173.1935577392578,0.2766498029232025
118,0,1,0,0,1251,25.04,nan,1.2356597185134888,172.93447875976562,-32.16553497314453,104.86344909667969,204.78598022460938,-0.18389694392681122
119,0,1,0,0,1251,25.04,nan,1.1201106309890747,164.9932403564453,9.715157508850098,90.89543151855469,188.6243133544922,0.05881424620747566
120,1,0,0,0,251,5.04,5.04,0.5591870546340942,128.0876922607422,-14.348026275634766,100.68006896972656,163.55059814453125,-0.11155218631029129
121,1,0,0,0,263,5.28,5.28,0.6387568712234497,156.51934814453125,-36.8791389465332,115.36105346679688,197.90541076660156,-0.23139972984790802
122,1,0,0,1,247,4.96,4.96,0.461122989654541,124.37574768066406,-18.55642318725586,106.36202239990234,164.70138549804688,-0.1481040120124817
123,0,0,1,0,1251,25.04,nan,2.293212890625,132.4423828125,38.47351837158203,85.11518096923828,162.06724548339844,0.2827116549015045
124,1,0,0,0,266,5.34,5.34,0.9547472596168518,169.06082153320312,-31.446453094482422,105.8701171875,201.9379119873047,-0.18390502035617828
125,1,0,0,0,277,5.5600000000000005,5.5600000000000005,0.8320562243461609,179.4212646484375,-23.789960861206055,106.94062042236328,210.2242889404297,-0.1318238377571106
126,1,0,0,1,272,5.46,5.46,0.7808099985122681,163.82020568847656,-7.474198341369629,101.44281768798828,192.83041381835938,-0.0455927774310112
127,0,1,0,0,1251,25.04,nan,1.2291885614395142,160.25201416015625,30.176910400390625,92.81085205078125,187.63052368164062,0.18612945079803467
128,1,0,0,1,239,4.8,4.8,0.6538556814193726,125.88099670410156,-15.448790550231934,94.08879089355469,157.915771484375,-0.12211472541093826
129,1,0,0,1,252,5.0600000000000005,5.0600000000000005,0.8179168701171875,121.1227798461914,-1.053476333618164,112.7218017578125,165.46311950683594,-0.008697371929883957
130,1,0,0,1,250,5.0200000000000005,5.0200000000000005,0.5242545008659363,136.58090209960938,2.079643726348877,98.76470184326172,168.5619659423828,0.015225283801555634
131,1,0,0,1,239,4.8,4.8,0.9621537923812866,132.65875244140625,12.399600982666016,79.27090454101562,155.03538513183594,0.09319911897182465
132,0,1,0,0,1251,25.04,nan,1.3079814910888672,139.98114013671875,29.722047805786133,95.68302917480469,172.1434326171875,0.2092217206954956
133,1,0,0,0,236,4.74,4.74,0.7040390968322754,132.34231567382812,28.980703353881836,79.57341003417969,157.1187286376953,0.21557994186878204
134,0,1,0,0,1251,25.04,nan,1.1001768112182617,144.171630859375,1.7314050197601318,89.84716796875,169.88516235351562,0.012008754536509514
135,1,0,0,0,269,5.4,5.4,0.6048199534416199,178.7677459716797,-1.2952485084533691,106.9489517211914,208.321044921875,-0.007245298940688372
136,1,0,0,1,265,5.32,5.32,0.9929711222648621,168.54632568359375,2.7725236415863037,108.52649688720703,200.48329162597656,0.016448142006993294
137,0,1,0,0,1251,25.04,nan,1.0777509212493896,145.08421325683594,-9.910693168640137,85.88521575927734,168.8902587890625,-0.06820398569107056
138,1,0,0,1,257,5.16,5.16,0.8938599228858948,166.04278564453125,12.60188102722168,94.00386810302734,191.22171020507812,0.07575016468763351
139,0,1,0,0,1251,25.04,nan,1.4347070455551147,153.8549041748047,30.584867477416992,81.99067687988281,177.00067138671875,0.1962321400642395
140,1,0,0,1,270,5.42,5.42,0.4656989276409149,167.3726348876953,-11.340563774108887,111.14794158935547,201.23635864257812,-0.06765297055244446
141,1,0,0,1,252,5.0600000000000005,5.0600000000000005,0.6781550645828247,165.9938201904297,24.543664932250977,87.27347564697266,189.13751220703125,0.14679531753063202
142,1,0,0,0,247,4.96,4.96,0.9729501605033875,128.1703338623047,26.032733917236328,97.15218353271484,162.92294311523438,0.20038458704948425
143,1,0,0,1,255,5.12,5.12,0.4955715835094452,125.7338638305664,-14.397787094116211,116.73567199707031,172.1729278564453,-0.1140134185552597
144,1,0,0,0,246,4.94,4.94,0.6862015128135681,121.61483764648438,-15.192350387573242,110.6810302734375,165.14013671875,-0.12427804619073868
145,1,0,0,1,265,5.32,5.32,0.6268694400787354,166.07138061523438,-9.954673767089844,103.59567260742188,195.9868927001953,-0.05987050384283066
146,1,0,0,0,253,5.08,5.08,0.6500799655914307,137.99647521972656,29.458837509155273,90.71058654785156,167.7476043701172,0.21031837165355682
147,0,1,0,0,1251,25.04,nan,1.3295272588729858,167.26661682128906,-12.59238052368164,81.78407287597656,186.61544799804688,-0.0751415491104126
148,1,0,0,1,241,4.84,4.84,0.6565183997154236,139.3821563720703,8.080240249633789,95.44110870361328,169.1203155517578,0.05790702998638153
149,1,0,0,0,245,4.92,4.92,0.8588820099830627,144.53985595703125,23.667213439941406,97.89566040039062,176.16885375976562,0.16230151057243347
150,1,0,0,1,236,4.74,4.74,0.7617730498313904,120.40270233154297,7.570953369140625,96.38401794433594,154.41505432128906,0.06279758363962173
151,1,0,0,0,248,4.98,4.98,0.8153496980667114,148.44471740722656,-27.862987518310547,80.7701644897461,171.27755737304688,-0.1855406016111374
152,1,0,0,0,245,4.92,4.92,0.9462167620658875,127.20529174804688,-29.787944793701172,94.19206237792969,161.06101989746094,-0.23002736270427704
153,1,0,0,1,267,5.36,5.36,0.9145560264587402,179.7085418701172,30.56885528564453,81.72246551513672,199.7703094482422,0.16848969459533691
154,1,0,0,1,242,4.86,4.86,0.773648202419281,135.00637817382812,21.79641342163086,97.30818176269531,167.8412628173828,0.16006611287593842
155,1,0,0,1,246,4.94,4.94,0.9289731979370117,138.7811279296875,8.378877639770508,100.29719543457031,171.43492126464844,0.06030156463384628
156,1,0,0,1,257,5.16,5.16,0.9164885878562927,154.01695251464844,-18.563085556030273,97.81233215332031,183.3931884765625,-0.11994767189025879
